"entry_id","entry_title","entry_type","source","source_type","source_file","file_count_confirmed","file_count_all","match_method","confidence"
"1","量子计算材料设计平台","sandbox_project","sandbox","sandbox_project","","0","1","fuzzy_title_low","0.5"
"2","AI 驱动的实验数据分析能力","tech_doc","manual_or_unknown","tech_doc","","0","0","","0"
"3","某某智能计算方法专利","patent","manual_or_unknown","patent","","0","0","","0"
"4","公司业务流程图","template","manual_or_unknown","template","","0","0","","0"
"5","产品效果图 A","template","manual_or_unknown","template","","0","0","","0"
"6","实地厂房照片","template","manual_or_unknown","template","","0","0","","0"
"7","材料结构数据条目","data_standard","data_standard","data_standard","","0","0","","0"
"8","实验数据存储结构说明","data_standard","data_standard","data_standard","","0","0","","0"
"9","UiO-68-SMe-Pt","academic_paper","manual_or_unknown","academic_paper","","0","0","","0"
"10","ZJU-195([Cu2L(H2O)2])","academic_paper","manual_or_unknown","academic_paper","","0","0","","0"
"11","MOF-OH","academic_paper","manual_or_unknown","academic_paper","","0","0","","0"
"12","NKMOF-1-Ni","academic_paper","manual_or_unknown","academic_paper","","0","0","","0"
"13","Cu(I)-MOF(CuI@...)","academic_paper","manual_or_unknown","academic_paper","","0","0","","0"
"14","APPT-Cd","academic_paper","manual_or_unknown","academic_paper","","0","0","","0"
"15","UTSA-200","academic_paper","manual_or_unknown","academic_paper","","0","0","","0"
"16","MIL-100(Cr)","academic_paper","manual_or_unknown","academic_paper","","0","0","","0"
"17","TIFSIX-2-Cu-i","academic_paper","manual_or_unknown","academic_paper","","0","0","","0"
"18","Fe-MOF(Compound 1)","academic_paper","manual_or_unknown","academic_paper","","0","0","","0"
"19","NOTT-300","academic_paper","manual_or_unknown","academic_paper","","0","0","","0"
"20","Zn-MOF(FJI-H11)","academic_paper","manual_or_unknown","academic_paper","","0","0","","0"
"21","Cu-In/NU-907","academic_paper","manual_or_unknown","academic_paper","","0","0","","0"
"22","Rigid-Flexible MOF(Zn-btb-dmtrz)","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"23","MFM-520","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"24","MFM-190(NO2)","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"25","Cu2(pzdc)2(pyz)","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"26","NUM-15","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"27","CAU-10-H","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"28","Zn-CAT","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"29","ZU-610a","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"30","FJU-22a","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"31","Zn-CAT 系列","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"32","UTSA-74","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"33","IPM-100","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"34","ZNU-1","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"35","Cu(OH)INA","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"36","NTU-67","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"37","UTSA-100","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"38","BSF-1","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"39","M'MOF-3","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"40","HKUST-1","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"41","In-MOF([In(dtztp)0.5...])","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"42","SIFSIX 系列(SIFSIX-1/2/3...)","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"43","Ca-MOF([Ca(dtztp)0.5])","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"44","Cu(TMBP)Cl","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"45","FJI-H8-R (R=Me, Et, Pr)","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"46","MOF-74 系列(Mg, Co, Ni, Fe)","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"47","CuI@UiO-66-(COOH)2","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"48","可吸附乙炔的MOF文献清单","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"49","Sandbox 6a4b3cf0f074402e3d11b1b3","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"50","UTSA-74（Zn）合成与乙炔传感测试流程","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"51","ESEDIQ_clean","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"52","dot","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"53","df96459f-5f3c-41cb-b235-2c4a0dc47be4_dataset.csv","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"54","In3(OH)3(TATAB)2","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"55","ZIF-8/ZnO-update-update-update-update","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"56","CoNi-MOFs-update","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"57","ESEDIQ_clean1","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"58","dataset1.csv","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"59","dataset.csv","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"60","cxzbvx","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"61","基于MOF的电阻型传感器-update","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"62","变压器油特性分析和检测方法调研1","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"63","dataset_small.csv-update-update-update","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"64","乙炔传感MOF材料（UiO-68-SMe-Pt）合成与表征流程","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"65","一种用于绝缘油C2H4气体检测传感器的气敏材料合成方案","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"66","JAKBIJ_clean","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"67","绝缘油C2H4气体检测传感器气敏材料合成方案","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"68","数字资产导入流程（Dot类型）","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"69","测试POST","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"70","Ni/Co Ni-Pyz","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"71","Cu3(HITP)2","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"72","fum-fcu-MOF","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"73","TMA-Co(II)/PDLA","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"74","TCPP(Ni)-Co","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"75","Co-MOF-74-TTF","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"76","MOF6/Mxene","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"77","MOF-5/CS/IL","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"78","16 h Def-ZIF67","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"79","MOF-808-EDTA-M","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"80","MOF传感器文献清单","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"81","测试POST2","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"82","郑跃强-测试Post","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"83","测试测试测试测试测试","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"84","C₂H₂/C₂H₄ 选择性筛选方案-update","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"85","测试POST1","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"86","新建dATAset","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"87","1111","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"88","sdfsd","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"89","CuI@UiO−66−(COOH)2","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"90","Cu(TMBP)X","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"91","SIFSIX 系列","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"92","Ca-MOF","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"93","FJI-H8","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"94","In-MOF","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"95","MOF-74 系列","sandbox_project","sandbox","sandbox_project","","0","0","","0"
"96","测试模板","template","manual_or_unknown","template","","0","0","","0"
"97","MOF-303小试放大预算和风险评估报告-2.0","template","local_file","mixed","laiguanxue/MOF-303小试放大预算和风险评估报告-2.0.docx","2","2","exact_title","0.9"
"98","MOF-303小试放大预算和风险评估报告-2.0","template","local_file","mixed","laiguanxue/MOF-303小试放大预算和风险评估报告-2.0.docx","2","2","exact_title","0.9"
"99","MOF-303小试放大预算和风险评估报告-2.0","template","local_file","mixed","laiguanxue/MOF-303小试放大预算和风险评估报告-2.0.docx","2","2","exact_title","0.9"
"100","MOFs材料机理2","academic_paper","local_file","ppt","laiguanxue/MOFs材料机理2.pptx","1","1","exact_title","0.9"
"101","Optimization of hydrothermal carbonization parameters of sugarcane residues for enhanced hydrochar fuel properties with ammonium adsorption assessment","academic_paper","local_file","pdf","zaozhi/1-s2.0-S0009250925013971-main.pdf","2","2","metadata_in_db","0.9"
"102","Extraction of high-purity lignin from the kraft pulping black liquor by enzyme purification process with alkaline-resistant xylanase and cellulase","academic_paper","local_file","pdf","zaozhi/1-s2.0-S0141813025001230-main.pdf","1","1","metadata_in_db","0.9"
"103","Evaluation of lignin and cellulose nanoparticles from bacterial-deconstructed sugarcane bagasse for effective quercetin delivery","academic_paper","local_file","pdf","zaozhi/1-s2.0-S0141813025086374-main.pdf","2","2","metadata_in_db","0.9"
"104","Sustainable and efficient valorization of sugarcane bagasse: Integrated conversion of holocellulose into acetone, butanol, and ethanol","academic_paper","local_file","pdf","zaozhi/1-s2.0-S0926669025015614-main.pdf","2","2","metadata_in_db","0.9"
"105","Development and characterization of gelatinized starch doped microcellulose paper from tender coconut ( Cocos nucifera L) husk","academic_paper","local_file","pdf","zaozhi/1-s2.0-S0957582024001381-main.pdf","1","1","metadata_in_db","0.9"
"106","Global optimization of multiply enzyme synergic treatment in the pulp and paper industry through machine learning methodology","academic_paper","local_file","pdf","zaozhi/1-s2.0-S0959652625013630-main.pdf","1","1","metadata_in_db","0.9"
"107","Valorization of agave bagasse as a bio-template for circular economy: Applications in energy conversion, metabolite production, and sustainable material synthesis","academic_paper","local_file","pdf","zaozhi/1-s2.0-S0961953425002089-main.pdf","2","2","metadata_in_db","0.9"
"108","Fermentation of sugarcane bagasse for production of value-added phenolic compounds using potential bacterial strains: A comparative analysis","academic_paper","local_file","pdf","zaozhi/1-s2.0-S0961953425005720-main.pdf","2","2","metadata_in_db","0.9"
"109","Integrated assessment of bio-oil catalytic hydrocracking for diesel and gasoline production in the sugarcane industry","academic_paper","local_file","pdf","zaozhi/1-s2.0-S0961953425006968-main.pdf","2","2","metadata_in_db","0.9"
"110","Maximizing wheat straw utilization: An integrated, near-zero-waste sequential biorefining approach","academic_paper","local_file","pdf","zaozhi/1-s2.0-S0961953425008979-main.pdf","2","2","metadata_in_db","0.9"
"111","Simultaneous enzymatic hydrolysis and bioconversion of deacetylated and disk refined sugarcane bagasse to single-cell protein: An experimental investigation and techno-economic analysis","academic_paper","local_file","pdf","zaozhi/1-s2.0-S1369703X25000646-main.pdf","2","2","metadata_in_db","0.9"
"112","Exploring exopolysaccharide production from sugarcane bagasse: Mechanisms and processes involving Leuconostoc mesenteroides","academic_paper","local_file","pdf","zaozhi/1-s2.0-S1385894725049903-main.pdf","2","2","metadata_in_db","0.9"
"113","Costing models for capacity optimization in Industry 4.0: Trade-off between used capacity and operational efficiency","academic_paper","local_file","pdf","zaozhi/1-s2.0-S2351978919303488-main.pdf","1","1","metadata_in_db","0.9"
"114","Agro-industrial waste valorization through solid-state fermentation by Lentinula edodes for high-protein and β-glucans flour development for human diet: Chemical characterization, drying kinetics evaluation, and bioaccessibility","academic_paper","local_file","pdf","zaozhi/1-s2.0-S2589014X25002361-main.pdf","2","2","metadata_in_db","0.9"
"115","Techno-economic evaluation of multiple product scenarios from pineapple leaf waste in integrated biorefinery","academic_paper","local_file","pdf","zaozhi/1-s2.0-S2589014X25003044-main.pdf","2","2","metadata_in_db","0.9"
"116","Sustainable lactic acid production: Optimization yield from sugarcane and beet molasses through fermentation","academic_paper","local_file","pdf","zaozhi/1-s2.0-S2590123025012368-main.pdf","2","2","metadata_in_db","0.9"
"117","Advances in safe processing of sugarcane and bagasse for the generation of biofuels and bioactive compounds","academic_paper","local_file","pdf","zaozhi/1-s2.0-S266615432300056X-main.pdf","2","2","metadata_in_db","0.9"
"118","2025-12-12甘蔗渣生物炼制与高值化利用场景验证平台","academic_paper","local_file","word","zaozhi/2025-12-12甘蔗渣生物炼制与高值化利用场景验证平台.docx","1","2","exact_title|fuzzy_title","0.9"
"119","2025-12-15甘蔗渣生物炼制与高值化利用场景验证平台","academic_paper","local_file","word","zaozhi/2025-12-15甘蔗渣生物炼制与高值化利用场景验证平台.docx","1","2","exact_title|fuzzy_title","0.9"
"120","Transparent Wood Fabrication and Applications: A Review","academic_paper","local_file","pdf","zaozhi/2025-Transparent wood.pdf","2","2","metadata_in_db","0.9"
"121","Enzyme Technology in the Food Industry: Molecular Mechanisms, Applications, and Sustainable Innovations","academic_paper","local_file","pdf","zaozhi/2025-enzyme-food.pdf","2","2","metadata_in_db","0.9"
