absolute_path,relative_path,filename,extension,size_bytes,sha256,mime_type,entry_id,confidence,match_method,object_key,is_temp,duplicate_of,category
"C:\Users\CAIHUI\MicroEra-Wiki-MVP-new\backend\data\laiguanxue\MOF-303小试放大预算和风险评估报告-2.0.pdf","laiguanxue/MOF-303小试放大预算和风险评估报告-2.0.pdf","MOF-303小试放大预算和风险评估报告-2.0.pdf",".pdf",702570,4a02ca5b2903160f2f8d4eb25085b467e80116daf8825d29b042538045ca9eeb,application/pdf,97,0.98,"exact_title",documents/4a02ca5b2903160f2f8d4eb25085b467e80116daf8825d29b042538045ca9eeb.pdf,0,,AUTO
"C:\Users\CAIHUI\MicroEra-Wiki-MVP-new\backend\data\laiguanxue\MOF-303小试放大预算和风险评估报告-2.0.pdf","laiguanxue/MOF-303小试放大预算和风险评估报告-2.0.pdf","MOF-303小试放大预算和风险评估报告-2.0.pdf",".pdf",702570,4a02ca5b2903160f2f8d4eb25085b467e80116daf8825d29b042538045ca9eeb,application/pdf,98,0.98,"exact_title",documents/4a02ca5b2903160f2f8d4eb25085b467e80116daf8825d29b042538045ca9eeb.pdf,0,,AUTO
"C:\Users\CAIHUI\MicroEra-Wiki-MVP-new\backend\data\laiguanxue\MOF-303小试放大预算和风险评估报告-2.0.pdf","laiguanxue/MOF-303小试放大预算和风险评估报告-2.0.pdf","MOF-303小试放大预算和风险评估报告-2.0.pdf",".pdf",702570,4a02ca5b2903160f2f8d4eb25085b467e80116daf8825d29b042538045ca9eeb,application/pdf,99,0.98,"exact_title",documents/4a02ca5b2903160f2f8d4eb25085b467e80116daf8825d29b042538045ca9eeb.pdf,0,,AUTO
"C:\Users\CAIHUI\MicroEra-Wiki-MVP-new\backend\data\laiguanxue\MOF-303小试放大预算和风险评估报告-2.0.pdf","laiguanxue/MOF-303小试放大预算和风险评估报告-2.0.pdf","MOF-303小试放大预算和风险评估报告-2.0.pdf",".pdf",702570,4a02ca5b2903160f2f8d4eb25085b467e80116daf8825d29b042538045ca9eeb,application/pdf,303,0.95,"source_summary",documents/4a02ca5b2903160f2f8d4eb25085b467e80116daf8825d29b042538045ca9eeb.pdf,0,,AUTO
"C:\Users\CAIHUI\MicroEra-Wiki-MVP-new\backend\data\laiguanxue\MOF-303小试放大预算和风险评估报告-2.0.pdf","laiguanxue/MOF-303小试放大预算和风险评估报告-2.0.pdf","MOF-303小试放大预算和风险评估报告-2.0.pdf",".pdf",702570,4a02ca5b2903160f2f8d4eb25085b467e80116daf8825d29b042538045ca9eeb,application/pdf,304,0.95,"source_summary",documents/4a02ca5b2903160f2f8d4eb25085b467e80116daf8825d29b042538045ca9eeb.pdf,0,,AUTO
"C:\Users\CAIHUI\MicroEra-Wiki-MVP-new\backend\data\laiguanxue\MOFs产品开发方案.pdf","laiguanxue/MOFs产品开发方案.pdf","MOFs产品开发方案.pdf",".pdf",2520661,75f94a86d3c875c940f9dad41effc60f10cbba1097c4caaf879a9221cb1457dc,application/pdf,309,0.98,"exact_title",documents/75f94a86d3c875c940f9dad41effc60f10cbba1097c4caaf879a9221cb1457dc.pdf,0,,AUTO
"C:\Users\CAIHUI\MicroEra-Wiki-MVP-new\backend\data\laiguanxue\早会-周会.pdf","laiguanxue/早会-周会.pdf","早会-周会.pdf",".pdf",1792566,15a479bc2a5b329b76fccda38b05bbfcdc5a859fcc3965d15e6418e783486c11,application/pdf,315,0.98,"exact_title",documents/15a479bc2a5b329b76fccda38b05bbfcdc5a859fcc3965d15e6418e783486c11.pdf,0,,AUTO
"C:\Users\CAIHUI\MicroEra-Wiki-MVP-new\backend\data\laiguanxue\郑州环合-志特纪元260709(1).pdf","laiguanxue/郑州环合-志特纪元260709(1).pdf","郑州环合-志特纪元260709(1).pdf",".pdf",1184440,dd68841ccfcf061edaba10f951274c7cad0a448e8c4466d4228ccb26e3f14ada,application/pdf,316,0.95,"source_summary",documents/dd68841ccfcf061edaba10f951274c7cad0a448e8c4466d4228ccb26e3f14ada.pdf,0,,AUTO
"C:\Users\CAIHUI\MicroEra-Wiki-MVP-new\backend\data\reports\MOF-VOCs市场深度评估报告.pdf","reports/MOF-VOCs市场深度评估报告.pdf","MOF-VOCs市场深度评估报告.pdf",".pdf",62701028,a56b8b6366f28f178dadba0e91562271a41a4383bf0893e26a41eef0aa91eed5,application/pdf,283,0.98,"exact_title",documents/a56b8b6366f28f178dadba0e91562271a41a4383bf0893e26a41eef0aa91eed5.pdf,0,"uploads/MOF-VOCs市场深度评估报告.pdf",AUTO
"C:\Users\CAIHUI\MicroEra-Wiki-MVP-new\backend\data\tmp\docling_buf_1783652655801\2605.12061v1_1783652655801.pdf","tmp/docling_buf_1783652655801/2605.12061v1_1783652655801.pdf","2605.12061v1_1783652655801.pdf",".pdf",9957181,0ec23e5a2e799ab672c79a9a21404ce5cdf615f9524ea62844edb2353e17fecc,application/pdf,,,"",documents/0ec23e5a2e799ab672c79a9a21404ce5cdf615f9524ea62844edb2353e17fecc.pdf,1,"tmp/docling_buf_1783913085966/2605.12061v1_1783913085967.pdf",TEMP
