"local_file","sha256","size","dir","matched_entry_ids","matched_entry_titles","match_method","confidence","recommended_action"
"laiguanxue/MOF-303小试放大预算和风险评估报告-2.0.docx","beb4004a9e49ed7c9428af6b0fde01487a756366415894bb30c416027fc141cd","114483","laiguanxue","97|98|99|303|304","MOF-303小试放大预算和风险评估报告-2.0|MOF-303小试放大预算和风险评估报告-2.0|MOF-303小试放大预算和风险评估报告-2.0|MOF-303小试放大预算和风险评估报告|MOF-303小试放大预算和风险评估报告","exact_title|source_summary","0.9","migrate_and_link"
"laiguanxue/MOF-303小试放大预算和风险评估报告-2.0.pdf","4a02ca5b2903160f2f8d4eb25085b467e80116daf8825d29b042538045ca9eeb","702570","laiguanxue","97|98|99|303|304","MOF-303小试放大预算和风险评估报告-2.0|MOF-303小试放大预算和风险评估报告-2.0|MOF-303小试放大预算和风险评估报告-2.0|MOF-303小试放大预算和风险评估报告|MOF-303小试放大预算和风险评估报告","exact_title|source_summary","0.9","migrate_and_link"
"laiguanxue/MOFs产品开发方案.pdf","75f94a86d3c875c940f9dad41effc60f10cbba1097c4caaf879a9221cb1457dc","2520661","laiguanxue","309","MOFs产品开发方案","exact_title","0.9","migrate_and_link"
"laiguanxue/MOFs材料机理2.pptx","2b0bf94085dc1897cf4280cf314fb4b1f2f53b894b0866d770dea193aa5313d9","3525431","laiguanxue","100","MOFs材料机理2","exact_title","0.9","migrate_and_link"
"laiguanxue/MOF水热合成-成本核算（2）.xlsx","860224291a293e5092a608bc8818334679ace77e972d819c405d90679342114e","20890","laiguanxue","308","MOF水热合成-成本核算（2）","exact_title","0.9","migrate_and_link"
"laiguanxue/大宗购买-泰坦报价.xlsx","72f408064d78d6ff2cf70e3465a7578f6cc90097a309030d44007959108e2b57","13659","laiguanxue","307","大宗购买-泰坦报价","exact_title","0.9","migrate_and_link"
"laiguanxue/早会-周会.pdf","15a479bc2a5b329b76fccda38b05bbfcdc5a859fcc3965d15e6418e783486c11","1792566","laiguanxue","315","早会-周会","exact_title","0.9","migrate_and_link"
"laiguanxue/材料组-实验采购记录与账本.xlsx","d5d25a92ed17b8b7c14ea0962aef3ae84eb1628abbd29158f0cb94418a56f4c5","6436941","laiguanxue","352","材料组-实验采购记录与账本","exact_title","0.9","migrate_and_link"
"laiguanxue/郑州环合-志特纪元260709(1).pdf","dd68841ccfcf061edaba10f951274c7cad0a448e8c4466d4228ccb26e3f14ada","1184440","laiguanxue","316","郑州环合生物医药有限公司销售合同","source_summary","0.9","migrate_and_link"
"reports/MOF-VOCs市场深度评估报告.pdf","a56b8b6366f28f178dadba0e91562271a41a4383bf0893e26a41eef0aa91eed5","62701028","reports","283","MOF-VOCs市场深度评估报告","exact_title","0.9","migrate_and_link"
